"ItemName","itmId","ItmName","Name","Units","itmDateAdded","itmCode"
"","73","Orange Paraline - pcs","Orange Paraline","pcs","2015-12-01T00:00:00","PR73"
"","74","Paper Bag - pcs","Paper Bag","pcs","2015-12-01T00:00:00","PR74"
"","75","Pineapple Danish - pcs","Pineapple Danish","pcs","2015-12-01T00:00:00","PR75"
"","76","Pizza Base - pcs","Pizza Base","pcs","2015-12-01T00:00:00","PR76"
"","77","Plain Bun - pcs","Plain Bun","pcs","2015-12-01T00:00:00","PR77"
"","78","Plain Croissant - pcs","Plain Croissant","pcs","2015-12-01T00:00:00","PR78"
"","79","Plain Doughnut - pcs","Plain Doughnut","pcs       ","2015-12-01T00:00:00","PR79"
"","80","Plain Muffin - pcs","Plain Muffin","pcs","2015-12-01T00:00:00","PR80"
"","81","Pyramid - pcs","Pyramid","pcs","2015-12-01T00:00:00","PR81"
"","82","Real 200 Ml - pcs","Real 200 Ml","pcs","2015-12-01T00:00:00","PR82"
"","83","Red Velvet Muffin - pcs","Red Velvet Muffin","pcs","2015-12-01T00:00:00","PR83"
"","84","Sacher - pcs","Sacher","pcs","2015-12-01T00:00:00","PR84"
"","85","Salty Cookies - pcs","Salty Cookies","pcs","2015-12-01T00:00:00","PR85"
"","86","Strawberry Tart - pcs","Strawberry Tart","pcs","2015-12-01T00:00:00","PR86"
"","87","Sugar Doughnut - pcs","Sugar Doughnut","pcs       ","2015-12-01T00:00:00","PR87"
"","88","Sweet Bun - pcs","Sweet Bun","pcs","2015-12-01T00:00:00","PR88"
"","89","Triffle Pusspop - pcs","Triffle Pusspop","pcs","2015-12-01T00:00:00","PR89"
"","90","Tri Chocolate Bavarian - pcs","Tri Chocolate Bavarian","pcs       ","2015-12-01T00:00:00","PR90"
"","91","Veg Patty - pcs","Veg Patty","pcs       ","2015-12-01T00:00:00","PR91"
"","92","Veg Roll - pcs","Veg Roll","pcs","2015-12-01T00:00:00","PR92"
"","93","Veg Sandwich Brown - pcs","Veg Sandwich Brown","pcs","2015-12-01T00:00:00","PR93"
"","94","Veg Sandwich White - pcs","Veg Sandwich White","pcs","2015-12-01T00:00:00","PR94"
"","95","White Bread Small - pcs","White Bread Small","pcs","2015-12-01T00:00:00","PR95"
"","96","White Chocolate Doughnutt - pcs","White Chocolate Doughnutt","pcs","2015-12-01T00:00:00","PR96"
"","97","White Spongy Truffle - pcs","White Spongy Truffle","pcs       ","2015-12-01T00:00:00","PR97"
"","98","Milk Bread  - pcs","Milk Bread ","pcs","2015-12-01T00:00:00","PR98"
"","99","Cheese Bread  - pcs","Cheese Bread ","pcs","2015-12-01T00:00:00","PR99"
"","100","Multigrain Bread Leaf  - pcs","Multigrain Bread Leaf ","pcs","2015-12-01T00:00:00","PR100"
"","101","Multigrain Bread Loaf  - pcs","Multigrain Bread Loaf ","pcs","2015-12-01T00:00:00","PR101"
"","102","Multigrainbuggate - pcs","Multigrainbuggate","pcs","2015-12-01T00:00:00","PR102"
"","103","Italian Bread - pcs","Italian Bread","pcs","2015-12-01T00:00:00","PR103"
"","104","White Bread Small  - pcs","White Bread Small ","pcs","2015-12-01T00:00:00","PR104"
"","105","Brown Bread Small - pcs","Brown Bread Small","pcs       ","2015-12-01T00:00:00","PR105"
"","106","Banana Bread Large  - pcs","Banana Bread Large ","pcs","2015-12-01T00:00:00","PR106"
"","107","Banana Bread Small   - pcs","Banana Bread Small  ","pcs","2015-12-01T00:00:00","PR107"
"","108","French Bread  - pcs","French Bread ","pcs","2015-12-01T00:00:00","PR108"
"","109","Chocolate Pastry - pcs","Chocolate Pastry","pcs       ","2015-12-01T00:00:00","PR109"
"","110","Pineapple Pastry  - pcs","Pineapple Pastry ","pcs       ","2015-12-01T00:00:00","PR110"
"","111","Flowrist Black Forest Pastry - pcs","Flowrist Black Forest Pastry","pcs       ","2015-12-01T00:00:00","PR111"
"","112","Strawberry Pastry - pcs","Strawberry Pastry","pcs       ","2015-12-01T00:00:00","PR112"
"","113","Florida Pastry - pcs","Florida Pastry","pcs","2015-12-01T00:00:00","PR113"
"","114","Mocca And Nougatine Pastry - pcs","Mocca And Nougatine Pastry","pcs       ","2015-12-01T00:00:00","PR114"
"","115","Lemon Pastry  - pcs","Lemon Pastry ","pcs       ","2015-12-01T00:00:00","PR115"
"","116","Mango Bavarian Pastry - pcs","Mango Bavarian Pastry","pcs","2015-12-01T00:00:00","PR116"
"","117","Blueberry Cheese Cake - pcs","Blueberry Cheese Cake","pcs       ","2015-12-01T00:00:00","PR117"
"","118","Grand Chocolate Truffle  - pcs","Grand Chocolate Truffle ","pcs","2015-12-01T00:00:00","PR118"
"","119","Lemon Tart - pcs","Lemon Tart","pcs       ","2015-12-01T00:00:00","PR119"
"","120","Chocolate Tart - pcs","Chocolate Tart","pcs","2015-12-01T00:00:00","PR120"
"","121","Lychee Meringue Pie - pcs","Lychee Meringue Pie","pcs","2015-12-01T00:00:00","PR121"
"","122","Chocolate Éclair - pcs","Chocolate Éclair","pcs","2015-12-01T00:00:00","PR122"
"","123","Chocolate Mousse - pcs","Chocolate Mousse","pcs","2015-12-01T00:00:00","PR123"
"","124","Vanilla Panacotta - pcs","Vanilla Panacotta","pcs","2015-12-01T00:00:00","PR124"
"","125","Apple & Almond Flan - pcs","Apple & Almond Flan","pcs","2015-12-01T00:00:00","PR125"
"","126","Chocolate Fudge Brownie - pcs","Chocolate Fudge Brownie","pcs       ","2015-12-01T00:00:00","PR126"
"","127","Espresso - cup","Espresso","cup","2015-12-01T00:00:00","PR127"
"","128","Double Espresso - cup","Double Espresso","cup","2015-12-01T00:00:00","PR128"
"","129","Americano - cup","Americano","cup","2015-12-01T00:00:00","PR129"
